,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_building_name0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_building_name1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_building_name2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2
283408,283408,1972.12.19,,Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,,Raffael,,,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,046",Gewölbebild,Urteil Salomos im Streit der Mütter,,,,,,,,,,,,,,,,,,,,,,
33290,33290,1926.09.12,"Gebhard, Fritz",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,,Raffael,,,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,047",Gewölbebild,Der Tempelbau,,,,,,,,,,,,,,,,,,,,,,
543768,543768,1998.04.01,"Heikamp, Detlef",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,,Raffael,,,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,047",Gewölbebild,Der Tempelbau,,,,,,,,,,,,,,,,,,,,,,
33275,33275,1926.09.12,"Gebhard, Fritz",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,,Raffael,,,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,048",Gewölbebild,Salomo empfängt die Königin von Saba,,,,,,,,,,,,,,,,,,,,,,
543767,543767,1998.04.01,"Heikamp, Detlef",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,,Raffael,,,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,048",Gewölbebild,Salomo empfängt die Königin von Saba,,,,,,,,,,,,,,,,,,,,,,
3087,3087,1901.06.08,,Mal. Ren.,,"Braun, Adolphe",07503992,,Zyklus,Szenen zum Alten Testament,,,,Raffael,,,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,048",Gewölbebild,Salomo empfängt die Königin von Saba,,,,,,,,,,,,,,,,,,,,,,
13651,13651,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70013024,,Bild,Christus und die Ehebrecherin,,,,Guercino,London,Dulwich College Picture Gallery,,,um 1621,,,,,,,,,,,,,,,,,,,,,,,,,,
13651scan,13651scan,2023.02.10,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70013024,,Bild,Christus und die Ehebrecherin,,,,Guercino,London,Dulwich College Picture Gallery,,,um 1621,,,,,,,,,,,,,,,,,,,,,,,,,,
245887,245887,1969.03.03,,Mal. Bar.,,unbekannt,70013024,,Bild,Christus und die Ehebrecherin,,,,Guercino,London,Dulwich College Picture Gallery,,,um 1621,,,,,,,,,,,,,,,,,,,,,,,,,,
13559,13559,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Hanfstaengl,70013036,,Bild,Mädchen im Pelz,,,,Tizian,Wien,Kunsthistorisches Museum Wien,,,um 1535,,,,,,,,,,,,,,,,,,,,,,,,,,
13559scan,13559scan,2023.02.13,,,"['vor 1897', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70013036,,Bild,Mädchen im Pelz,,,,Tizian,Wien,Kunsthistorisches Museum Wien,,,um 1535,,,,,,,,,,,,,,,,,,,,,,,,,,
485976,485976,1991.09.16,"Tempestini, Anchise",Mal. Ren.,,Wolfrum,70013036,,Bild,Mädchen im Pelz,,,,Tizian,Wien,Kunsthistorisches Museum Wien,,,um 1535,,,,,,,,,,,,,,,,,,,,,,,,,,
147249,147249,1956.07.09,Fine Arts Museum of San Francisco,Mal. Ren.,,unbekannt,70013036,,Bild,Mädchen im Pelz,,,,Tizian,Wien,Kunsthistorisches Museum Wien,,,um 1535,,,,,,,,,,,,,,,,,,,,,,,,,,
147248,147248,1956.07.09,Fine Arts Museum of San Francisco,Mal. Ren.,,unbekannt,70013036,,Bild,Mädchen im Pelz,,,,Tizian,Wien,Kunsthistorisches Museum Wien,,,um 1535,,,,,,,,,,,,,,,,,,,,,,,,,,
147247,147247,1956.07.09,Fine Arts Museum of San Francisco,Mal. Ren.,,unbekannt,70013036,,Bild,Mädchen im Pelz,,,,Tizian,Wien,Kunsthistorisches Museum Wien,,,um 1535,,,,,,,,,,,,,,,,,,,,,,,,,,
107906,107906,1936.02.19,"Fossati Bellani, Luigi Vittorio",Mal. Ren.,1935,Fiorentini,70013036,,Bild,Mädchen im Pelz,,,,Tizian,Wien,Kunsthistorisches Museum Wien,,,um 1535,,,,,,,,,,,,,,,,,,,,,,,,,,
107907,107907,1936.02.19,"Fossati Bellani, Luigi Vittorio",Mal. Ren.,1935,Fiorentini,70013036,,Bild,Mädchen im Pelz,,,,Tizian,Wien,Kunsthistorisches Museum Wien,,,um 1535,,,,,,,,,,,,,,,,,,,,,,,,,,
13124,13124,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,,07702861,,Bild,Bildnis eines jungen Mannes,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum,,,1506/1508,,,,,,,,,,,,,,,,,,,,,,,,,,
13124scan,13124scan,2022.11.21,,,"['vor 1897', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",07702861,,Bild,Bildnis eines jungen Mannes,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum,,,1506/1508,,,,,,,,,,,,,,,,,,,,,,,,,,
120510,120510,1938.12.19,"Oertel, Robert",Mal. Ren.,,,07702861,,Bild,Bildnis eines jungen Mannes,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum,,,1506/1508,,,,,,,,,,,,,,,,,,,,,,,,,,
416523,416523,1984.03.28,Vannini Parenti,Mal. Ren.,,,07702861,,Bild,Bildnis eines jungen Mannes,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum,,,1506/1508,,,,,,,,,,,,,,,,,,,,,,,,,,
536062,536062,1996.05.28,"Tempestini, Anchise",Mal. Ren.,,,07702861,,Bild,Bildnis eines jungen Mannes,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum,,,1506/1508,,,,,,,,,,,,,,,,,,,,,,,,,,
13459,13459,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,"Löwy, Josef",70013048,,Bild,Christus am Ölberg,,,,"Venusti, Marcello",Wien,Kunsthistorisches Museum Wien,,,1560/1570,,,,,,,,,,,,,,,,,,,,,,,,,,
13459scan,13459scan,2023.02.15,,,"['vor 1912', '2022.10.04']","['Löwy, Josef', 'Digitallabor KHI nach historischer Vorlage']",70013048,,Bild,Christus am Ölberg,,,,"Venusti, Marcello",Wien,Kunsthistorisches Museum Wien,,,1560/1570,,,,,,,,,,,,,,,,,,,,,,,,,,
13382,13382,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Brogi,07874525,,Bild,Die heilige Franziska Romana mit Engel,,,,"Galli, Giovanni Antonio",,,Genua,Palazzo Rosso,,,,,,,,,,,,,,,,,,,,,,,,,,,
13382scan,13382scan,2022.11.21,,,"['vor 1912', '2022.10.04']","['Brogi', 'Digitallabor KHI nach historischer Vorlage']",07874525,,Bild,Die heilige Franziska Romana mit Engel,,,,"Galli, Giovanni Antonio",,,Genua,Palazzo Rosso,,,,,,,,,,,,,,,,,,,,,,,,,,,
13679,13679,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70012993,,Bild,Heiliger Hieronymus in der Wüste,,,,Guercino,Sankt Petersburg,Staatliche Ermitage,,,1650,,,,,,,,,,,,,,,,,,,,,,,,,,
13679scan,13679scan,2023.02.02,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70012993,,Bild,Heiliger Hieronymus in der Wüste,,,,Guercino,Sankt Petersburg,Staatliche Ermitage,,,1650,,,,,,,,,,,,,,,,,,,,,,,,,,
13693,13693,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70012981,,Bild,Maria mit Kind,,,,Guercino,Magdeburg,Kunstmuseum,,,1624,,,,,,,,,,,,,,,,,,,,,,,,,,
13693scan,13693scan,2023.02.02,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70012981,,Bild,Maria mit Kind,,,,Guercino,Magdeburg,Kunstmuseum,,,1624,,,,,,,,,,,,,,,,,,,,,,,,,,
13496,13496,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Bruckmann,70013091,,Bild,Bildnis einer Dame,,,,"Kempeneer, Peter de",Frankfurt,Städel Museum,,,1522/1524,,,,,,,,,,,,,,,,,,,,,,,,,,
13496scan,13496scan,2023.02.25,,,"['vor 1899', '2022.10.04']","['Bruckmann', 'Digitallabor KHI nach historischer Vorlage']",70013091,,Bild,Bildnis einer Dame,,,,"Kempeneer, Peter de",Frankfurt,Städel Museum,,,1522/1524,,,,,,,,,,,,,,,,,,,,,,,,,,
13431,13431,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1901,Anderson,70013011,,Bild,Der heilige Hieronymus als Büßer,,,,"Lotto, Lorenzo",Rom,Galleria Doria Pamphilj,,,1522/1530,,,,,,,,,,,,,,,,,,,,,,,,,,
13431scan,13431scan,2023.02.06,,,"['vor 1901', '2022.10.04']","['Anderson', 'Digitallabor KHI nach historischer Vorlage']",70013011,,Bild,Der heilige Hieronymus als Büßer,,,,"Lotto, Lorenzo",Rom,Galleria Doria Pamphilj,,,1522/1530,,,,,,,,,,,,,,,,,,,,,,,,,,
13696,13696,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70013023,,Bild,Semiramis wird zu den Waffen gerufen,,,,Guercino,London,Christie's,,,1645,,,,,,,,,,,,,,,,,,,,,,,,,,
13696scan,13696scan,2023.02.09,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70013023,,Bild,Semiramis wird zu den Waffen gerufen,,,,Guercino,London,Christie's,,,1645,,,,,,,,,,,,,,,,,,,,,,,,,,
13281,13281,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1896,Alinari,70013120,,Zyklus,"Szenen aus den Taten des Herkules: Herkules kämpft mit der Hydra, Herkules und Antaeus",,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,um 1470,,,,,,,,,,,,,,,,,,,,,,,,,,
13281scan,13281scan,2023.03.03,,,"['vor 1896', '2022.10.04']","['Alinari', 'Digitallabor KHI nach historischer Vorlage']",70013120,,Zyklus,"Szenen aus den Taten des Herkules: Herkules kämpft mit der Hydra, Herkules und Antaeus",,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,um 1470,,,,,,,,,,,,,,,,,,,,,,,,,,
489487,489487,1992.04.13,,Mal. Ren.,um 1972?,"Bazzechi, Ivo",70013120,,Zyklus,"Szenen aus den Taten des Herkules: Herkules kämpft mit der Hydra, Herkules und Antaeus",,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,um 1470,,,,,,,,,,,,,,,,,,,,,,,,,,
489486,489486,1992.04.13,,Mal. Ren.,um 1972?,"Bazzechi, Ivo",70013120,,Zyklus,"Szenen aus den Taten des Herkules: Herkules kämpft mit der Hydra, Herkules und Antaeus",,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,um 1470,,,,,,,,,,,,,,,,,,,,,,,,,,
489485,489485,1992.04.13,,Mal. Ren.,um 1972?,"Bazzechi, Ivo",70013120,,Zyklus,"Szenen aus den Taten des Herkules: Herkules kämpft mit der Hydra, Herkules und Antaeus",,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,um 1470,,,,,,,,,,,,,,,,,,,,,,,,,,
296162,296162,1974.02.26,,Mal. Ren.,,unbekannt,70013120,,Zyklus,"Szenen aus den Taten des Herkules: Herkules kämpft mit der Hydra, Herkules und Antaeus",,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,um 1470,,,,,,,,,,,,,,,,,,,,,,,,,,
296163,296163,1974.02.26,,Mal. Ren.,,unbekannt,70013120,,Zyklus,"Szenen aus den Taten des Herkules: Herkules kämpft mit der Hydra, Herkules und Antaeus",,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,um 1470,,,,,,,,,,,,,,,,,,,,,,,,,,
296164,296164,1974.02.26,,Mal. Ren.,,unbekannt,70013120,,Zyklus,"Szenen aus den Taten des Herkules: Herkules kämpft mit der Hydra, Herkules und Antaeus",,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,um 1470,,,,,,,,,,,,,,,,,,,,,,,,,,
296165,296165,1974.02.26,,Mal. Ren.,,unbekannt,70013120,,Zyklus,"Szenen aus den Taten des Herkules: Herkules kämpft mit der Hydra, Herkules und Antaeus",,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,um 1470,,,,,,,,,,,,,,,,,,,,,,,,,,
232270,232270,1968.03.11,"Donati, Pier Paolo",Mal. Ren.,,unbekannt,70013120,,Zyklus,"Szenen aus den Taten des Herkules: Herkules kämpft mit der Hydra, Herkules und Antaeus",,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,um 1470,,,,,,,,,,,,,,,,,,,,,,,,,,
618670,618670,2017.08.26,,Mal. Ren.,2016,"Sigismondi, Roberto",70005146,,Bild,Bacchanal,,,,"Balducci, Matteo",Gubbio,Museo Civico Palazzo dei Consoli,,,1501/1550,,,,,,,,,,,,,,,,,,,,,,,,,,
13333,13333,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1911,Alinari,70005146,,Bild,Bacchanal,,,,"Balducci, Matteo",Gubbio,Museo Civico Palazzo dei Consoli,,,1501/1550,,,,,,,,,,,,,,,,,,,,,,,,,,
13333scan,13333scan,2023.03.20,,,"['vor 1911', '2022.10.04']","['Alinari', 'Digitallabor KHI nach historischer Vorlage']",70005146,,Bild,Bacchanal,,,,"Balducci, Matteo",Gubbio,Museo Civico Palazzo dei Consoli,,,1501/1550,,,,,,,,,,,,,,,,,,,,,,,,,,
13484,13484,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,07702799,,Bild,Maria mit Kind und Heiligen,,,,"Palma, Jacopo (1480)",Wien,Kunsthistorisches Museum,,,um 1520/1525,,,,,,,,,,,,,,,,,,,,,,,,,,
13484scan,13484scan,2022.11.23,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",07702799,,Bild,Maria mit Kind und Heiligen,,,,"Palma, Jacopo (1480)",Wien,Kunsthistorisches Museum,,,um 1520/1525,,,,,,,,,,,,,,,,,,,,,,,,,,
13570,13570,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,07702896,,Bild,Sogenanntes Bildnis des Arztes Parma,,,,Tizian,Wien,Kunsthistorisches Museum,,,um 1515/1520,,,,,,,,,,,,,,,,,,,,,,,,,,
13570scan,13570scan,2022.11.24,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",07702896,,Bild,Sogenanntes Bildnis des Arztes Parma,,,,Tizian,Wien,Kunsthistorisches Museum,,,um 1515/1520,,,,,,,,,,,,,,,,,,,,,,,,,,
280965,280965,1972.09.14,"Donati, Pier Paolo",Mal. Ren.,,,07702896,,Bild,Sogenanntes Bildnis des Arztes Parma,,,,Tizian,Wien,Kunsthistorisches Museum,,,um 1515/1520,,,,,,,,,,,,,,,,,,,,,,,,,,
294355,294355,1974.01.22,"Burckhardt, Jakob (Nachlass)",Mal. Ren.,,,07702896,,Bild,Sogenanntes Bildnis des Arztes Parma,,,,Tizian,Wien,Kunsthistorisches Museum,,,um 1515/1520,,,,,,,,,,,,,,,,,,,,,,,,,,
471114,471114,1990.01.23,"Heinemann, Fritz",Mal. Ren.,,,07702896,,Bild,Sogenanntes Bildnis des Arztes Parma,,,,Tizian,Wien,Kunsthistorisches Museum,,,um 1515/1520,,,,,,,,,,,,,,,,,,,,,,,,,,
13405,13405,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1894,"Tamme, Rudolph",70013013,,Bild,"Disputation der Immaculata Conceptio mit den heiligen Anselmus, Agustinus, Hieronymus und Ambrosius",,,zerstört,"Dossi, Dosso",Dresden,Gemäldegalerie Alte Meister Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13405scan,13405scan,2023.02.07,,,"['vor 1894', '2022.10.04']","['Tamme, Rudolph', 'Digitallabor KHI nach historischer Vorlage']",70013013,,Bild,"Disputation der Immaculata Conceptio mit den heiligen Anselmus, Agustinus, Hieronymus und Ambrosius",,,zerstört,"Dossi, Dosso",Dresden,Gemäldegalerie Alte Meister Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13652,13652,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70013025,,Bild,Die libysche Sibylle,,,,Guercino,London,"Windsor Castle, Royal Art Collection",,,1651,,,,,,,,,,,,,,,,,,,,,,,,,,
13652scan,13652scan,2023.02.10,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70013025,,Bild,Die libysche Sibylle,,,,Guercino,London,"Windsor Castle, Royal Art Collection",,,1651,,,,,,,,,,,,,,,,,,,,,,,,,,
13491,13491,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,,,,,,,,,,,,,,,,,,,,,,,,,
13491scan,13491scan,2022.11.23,,,"['vor 1899', '2022.10.04']","['Anderson', 'Digitallabor KHI nach historischer Vorlage']",70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,,,,,,,,,,,,,,,,,,,,,,,,,
255625,255625,1970.01.14,,Mal. Ren.,vor 1912,Brogi,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,,,,,,,,,,,,,,,,,,,,,,,,,
628672,628672,2021.10.15,,Mal. Ren.,vor 1912,Brogi,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,,,,,,,,,,,,,,,,,,,,,,,,,
628673,628673,2021.10.15,,Mal. Ren.,vor 1912,Brogi,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,,,,,,,,,,,,,,,,,,,,,,,,,
32500,32500,1926.06.5,Pineider,Mal. Ren.,vor 1907,Anderson,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,,,,,,,,,,,,,,,,,,,,,,,,,
257017,257017,1970.02.19,,Mal. Ren.,vor 1912,Brogi,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,70013172,Wandbild,Anbetung der Könige und der Hirten,,,,,,,,,,,,,,,,,,,,,,
32494,32494,1926.06.5,Pineider,Mal. Ren.,vor 1907,Anderson,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,70013172,Wandbild,Anbetung der Könige und der Hirten,,,,,,,,,,,,,,,,,,,,,,
257018,257018,1970.02.19,,Mal. Ren.,vor 1912,Brogi,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,70013173,Wandbild,Die Flucht nach Ägypten und Bethlehemitischer Kindermord,,,,,,,,,,,,,,,,,,,,,,
257019,257019,1970.02.19,,Mal. Ren.,vor 1912,Brogi,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,70013173,Wandbild,Die Flucht nach Ägypten und Bethlehemitischer Kindermord,,,,,,,,,,,,,,,,,,,,,,
32711,32711,1926.06.10,Pineider,Mal. Ren.,vor 1907,Anderson,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,70013173,Wandbild,Die Flucht nach Ägypten und Bethlehemitischer Kindermord,,,,,,,,,,,,,,,,,,,,,,
332434,332434,1977.07.21,,Mal. Ren.,,"Hutzel, Max",70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,70013173,Wandbild,Die Flucht nach Ägypten und Bethlehemitischer Kindermord,,,,,,,,,,,,,,,,,,,,,,
32495,32495,1926.06.5,Pineider,Mal. Ren.,vor 1907,Anderson,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,70013173,Wandbild,Die Flucht nach Ägypten und Bethlehemitischer Kindermord,,,,,,,,,,,,,,,,,,,,,,
255577,255577,1970.01.14,,Mal. Ren.,vor 1912,Brogi,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,70013175,Wandbild,Marienkrönung,,,,"Pintoricchio, Bernardino",,,,,,,,,,,,,,,,,,
32712,32712,1926.06.10,Pineider,Mal. Ren.,vor 1907,Anderson,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,70013175,Wandbild,Marienkrönung,,,,"Pintoricchio, Bernardino",,,,,,,,,,,,,,,,,,
32713,32713,1926.06.10,Pineider,Mal. Ren.,vor 1907,Anderson,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,70013176,Wandbild,Gottvater,,,,,,,,,,,,,,,,,,,,,,
32496,32496,1926.06.5,Pineider,Mal. Ren.,vor 1907,Anderson,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,70013177,Wandbild,Sechs Apostel,,,,,,,,,,,,,,,,,,,,,,
32497,32497,1926.06.5,Pineider,Mal. Ren.,vor 1907,Anderson,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,70013178,Wandbild,Sechs Apostel,,,,,,,,,,,,,,,,,,,,,,
32498,32498,1926.06.5,Pineider,Mal. Ren.,vor 1907,Anderson,70010547,,Zyklus,Szenen aus dem Marienleben,,,,"Peruzzi, Baldassare",,,Rom,Sant'Onofrio al Gianicolo,1504/1506,,70013179,Wandbild,Sechs Sibyllen,,,,,,,,,,,,,,,,,,,,,,
13603,13603,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Reali,70013037,,Bild,David mit dem Haupt des Goliath,,,,"Caletti, Giuseppe",,unbekannt,,,1600/1669,,,,,,,,,,,,,,,,,,,,,,,,,,
13603scan,13603scan,2023.02.13,,,"['vor 1912', '2022.10.04']","['Reali', 'Digitallabor KHI nach historischer Vorlage']",70013037,,Bild,David mit dem Haupt des Goliath,,,,"Caletti, Giuseppe",,unbekannt,,,1600/1669,,,,,,,,,,,,,,,,,,,,,,,,,,
13396,13396,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1898,"Tamme, Rudolph",70013049,,Bild,Madonna des heiligen Franziskus,,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1514/1515,,,,,,,,,,,,,,,,,,,,,,,,,,
13396scan,13396scan,2023.02.15,,,"['vor 1898', '2022.10.04']","['Tamme, Rudolph', 'Digitallabor KHI nach historischer Vorlage']",70013049,,Bild,Madonna des heiligen Franziskus,,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1514/1515,,,,,,,,,,,,,,,,,,,,,,,,,,
30303,30303,1926.02.20,"Ergas, Rudolf",Mal. Ren.,vor 1906,Alinari,70013049,,Bild,Madonna des heiligen Franziskus,,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1514/1515,,,,,,,,,,,,,,,,,,,,,,,,,,
30304,30304,1926.02.20,"Ergas, Rudolf",Mal. Ren.,vor 1906,Alinari,70013049,,Bild,Madonna des heiligen Franziskus,,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1514/1515,,,,,,,,,,,,,,,,,,,,,,,,,,
30305,30305,1926.02.20,"Ergas, Rudolf",Mal. Ren.,vor 1906,Alinari,70013049,,Bild,Madonna des heiligen Franziskus,,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1514/1515,,,,,,,,,,,,,,,,,,,,,,,,,,
115207,115207,1937.09.01,,Mal. Ren.,,unbekannt,70013049,,Bild,Madonna des heiligen Franziskus,,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1514/1515,,,,,,,,,,,,,,,,,,,,,,,,,,
13671,13671,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,07501095,,Bild,Zwei Engel beweinen den toten Christus,,,,Guercino,London,National Gallery,,,1617/1618,,,,,,,,,,,,,,,,,,,,,,,,,,
13671scan,13671scan,2022.11.23,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",07501095,,Bild,Zwei Engel beweinen den toten Christus,,,,Guercino,London,National Gallery,,,1617/1618,,,,,,,,,,,,,,,,,,,,,,,,,,
589792,589792,2007.10.23,"Luporini, Eugenio",Mal. Bar.,,,07501095,,Bild,Zwei Engel beweinen den toten Christus,,,,Guercino,London,National Gallery,,,1617/1618,,,,,,,,,,,,,,,,,,,,,,,,,,
13670,13670,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70012982,,Bild,Susanna im Bade,,,,Guercino,München,Bayerische Staatsgemäldesammlung,,,nach 1617,,,,,,,,,,,,,,,,,,,,,,,,,,
13670scan,13670scan,2023.02.02,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70012982,,Bild,Susanna im Bade,,,,Guercino,München,Bayerische Staatsgemäldesammlung,,,nach 1617,,,,,,,,,,,,,,,,,,,,,,,,,,
13464,13464,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Bruckmann,70013080,,Bild,Thronende Madonna mit Kind und vier Kirchenvätern,,,,"Moretto, Alessandro",Frankfurt,Städel Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
