,Art_Artist0,count,artist_wd_Name,artist_wd_URI,BirthPlace_Label,BirthPlace_URI
79,Fra Bartolommeo,1,Fra Bartolomeo,<http://www.wikidata.org/entity/Q7780>,Italy,<http://www.wikidata.org/entity/Q38>
80,Giovanni Pietro Rizzoli,1,Giampietrino,<http://www.wikidata.org/entity/Q940454>,Italy,<http://www.wikidata.org/entity/Q38>
81,Giovanni Francesco Caroto,1,Giovan Francesco Caroto,<http://www.wikidata.org/entity/Q966586>,Italy,<http://www.wikidata.org/entity/Q38>
82,Francesco Morone,1,Francesco Morone,<http://www.wikidata.org/entity/Q1441160>,Italy,<http://www.wikidata.org/entity/Q38>
83,Jacopo da Empoli,1,Jacopo Chimenti,<http://www.wikidata.org/entity/Q2625832>,Italy,<http://www.wikidata.org/entity/Q38>
84,Bernardo Strozzi,1,Bernardo Strozzi,<http://www.wikidata.org/entity/Q437724>,Italy,<http://www.wikidata.org/entity/Q38>
85,Antonio Joli,1,Antonio Joli,<http://www.wikidata.org/entity/Q2404265>,Italy,<http://www.wikidata.org/entity/Q38>
86,Domenico Piola,1,Domenico Piola,<http://www.wikidata.org/entity/Q1054362>,Italy,<http://www.wikidata.org/entity/Q38>
87,Giorgio Vasari,1,Giorgio Vasari,<http://www.wikidata.org/entity/Q128027>,Italy,<http://www.wikidata.org/entity/Q38>
88,Jacopo Zucchi,1,Jacopo Zucchi,<http://www.wikidata.org/entity/Q528968>,Italy,<http://www.wikidata.org/entity/Q38>
89,Antonello Riccio,1,Antonello Riccio,<http://www.wikidata.org/entity/Q3618976>,Italy,<http://www.wikidata.org/entity/Q38>
90,Rutilio di Lorenzo Manetti,1,Rutilio Manetti,<http://www.wikidata.org/entity/Q1853073>,Italy,<http://www.wikidata.org/entity/Q38>
91,Paris Bordone,1,Paris Bordon,<http://www.wikidata.org/entity/Q366081>,Italy,<http://www.wikidata.org/entity/Q38>
92,Joseph Highmore,1,Joseph Highmore,<http://www.wikidata.org/entity/Q1707243>,United Kingdom,<http://www.wikidata.org/entity/Q145>
93,Giulio Carpioni,1,Giulio Carpioni,<http://www.wikidata.org/entity/Q1528009>,Italy,<http://www.wikidata.org/entity/Q38>
94,Franciabigio,1,Franciabigio,<http://www.wikidata.org/entity/Q537712>,Italy,<http://www.wikidata.org/entity/Q38>
95,Luca Signorelli,1,Luca Signorelli,<http://www.wikidata.org/entity/Q7031>,Italy,<http://www.wikidata.org/entity/Q38>
96,Carlo Dolci,1,Carlo Dolci,<http://www.wikidata.org/entity/Q503322>,Italy,<http://www.wikidata.org/entity/Q38>
97,Peter de Kempeneer,1,Pedro de Campaña,<http://www.wikidata.org/entity/Q2066867>,Belgium,<http://www.wikidata.org/entity/Q31>
98,Alessandro Allori,1,Alessandro Allori,<http://www.wikidata.org/entity/Q333369>,Italy,<http://www.wikidata.org/entity/Q38>
99,Andrea di Luigi Ingegno,1,Andrea d'Assisi,<http://www.wikidata.org/entity/Q2846290>,Italy,<http://www.wikidata.org/entity/Q38>
100,Canaletto,1,Canaletto,<http://www.wikidata.org/entity/Q182664>,Italy,<http://www.wikidata.org/entity/Q38>
101,Francesco Vanni,1,Francesco Vanni,<http://www.wikidata.org/entity/Q960581>,Italy,<http://www.wikidata.org/entity/Q38>
102,Giuseppe Caletti,1,Giuseppe Caletti,<http://www.wikidata.org/entity/Q3108002>,Italy,<http://www.wikidata.org/entity/Q38>
103,Andrea Mantegna,1,Andrea Mantegna,<http://www.wikidata.org/entity/Q5681>,Italy,<http://www.wikidata.org/entity/Q38>
104,Dosso Dossi,1,Dosso Dossi,<http://www.wikidata.org/entity/Q356777>,Italy,<http://www.wikidata.org/entity/Q38>
105,Ippolito Scarsella,1,Ippolito Scarsella,<http://www.wikidata.org/entity/Q2295535>,Italy,<http://www.wikidata.org/entity/Q38>
106,Giovanni Paolo Pannini,1,Giovanni Paolo Pannini,<http://www.wikidata.org/entity/Q286670>,Italy,<http://www.wikidata.org/entity/Q38>
107,Bartolommeo Neroni,1,Bartolomeo Neroni,<http://www.wikidata.org/entity/Q809503>,Italy,<http://www.wikidata.org/entity/Q38>
