,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2
20,284237,1973,No Data,Mal. Ren.,,,07700713,,Zyklus,Freskenzyklus,,,Sebastiano del Piombo,Rom,San Pietro in Montorio,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,002",Wandbild,Verklärung Christi,,,,,,,,,,,,,,,,,,,,
21,28751,1925,"Bodmer, Heinrich",Mal. Ren.,,,07700713,,Zyklus,Freskenzyklus,,,Sebastiano del Piombo,Rom,San Pietro in Montorio,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,003",Wandbild,Heiliger Petrus,,,,,,,,,,,,,,,,,,,,
22,28750,1925,"Bodmer, Heinrich",Mal. Ren.,,,07700713,,Zyklus,Freskenzyklus,,,Sebastiano del Piombo,Rom,San Pietro in Montorio,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,004",Wandbild,Heiliger Franz von Assisi,,,,,,,,,,,,,,,,,,,,
23,13493,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07700713,,Zyklus,Freskenzyklus,,,Sebastiano del Piombo,Rom,San Pietro in Montorio,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,005",Wandbild,Geißelung Christi,,,,,,,,,,,,,,,,,,,,
24,257024,1970,No Data,Mal. Ren.,,,07700713,,Zyklus,Freskenzyklus,,,Sebastiano del Piombo,Rom,San Pietro in Montorio,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,005",Wandbild,Geißelung Christi,,,,,,,,,,,,,,,,,,,,
25,13434,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Fiorentini,70013045,,Bild,Mann mit Tierpranke,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1524/1525,,,,,,,,,,,,,,,,,,,,,,,,
26,148273,1956,No Data,Mal. Ren.,vor 1956,Fiorentini,70013045,,Bild,Mann mit Tierpranke,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1524/1525,,,,,,,,,,,,,,,,,,,,,,,,
27,13460,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1876,Alinari,70013154,,Bild,Verkündigung,,,"Venusti, Marcello",Rom,"Galleria Nazionale d'Arte Antica, Palazzo Corsini",,,1551/1560,,,,,,,,,,,,,,,,,,,,,,,,
28,13408,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1896,Alinari,70013156,,Bild,Die heilige Familie mit dem Johannesknaben,,,"Pisano, Nicola (1484)",Florenz,Galleria degli Uffizi,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,393286,1981,"Pudelko, Georg",Mal. Ren.,vor 1896,Brogi,70013156,,Bild,Die heilige Familie mit dem Johannesknaben,,,"Pisano, Nicola (1484)",Florenz,Galleria degli Uffizi,,,,,,,,,,,,,,,,,,,,,,,,,,,
