,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2,Artist_wd_nameprep
119,13520,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,029",Gewölbebild,Auffindung des Mosesknaben,,,Raffael,,,,,,,,,,,,,,,,,,Raffael
162,13651,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70013024,,Bild,Christus und die Ehebrecherin,,,Guercino,London,Dulwich College Picture Gallery,,,um 1621,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
164,13559,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Hanfstaengl,70013036,,Bild,Mädchen im Pelz,,,Tizian,Wien,Kunsthistorisches Museum Wien,,,um 1535,,,,,,,,,,,,,,,,,,,,,,,,,Tizian
171,13124,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,,07702861,,Bild,Bildnis eines jungen Mannes,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum,,,1506/1508,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Lotto
175,13459,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,"Löwy, Josef",70013048,,Bild,Christus am Ölberg,,,"Venusti, Marcello",Wien,Kunsthistorisches Museum Wien,,,1560/1570,,,,,,,,,,,,,,,,,,,,,,,,,Marcello Venusti
176,13382,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Brogi,07874525,,Bild,Die heilige Franziska Romana mit Engel,,,"Galli, Giovanni Antonio",Genua,Palazzo Rosso,Genua,Palazzo Rosso,,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni Antonio Galli
177,13679,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70012993,,Bild,Heiliger Hieronymus in der Wüste,,,Guercino,Sankt Petersburg,Staatliche Ermitage,,,1650,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
178,13693,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70012981,,Bild,Maria mit Kind,,,Guercino,Magdeburg,Kunstmuseum,,,1624,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
179,13496,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Bruckmann,70013091,,Bild,Bildnis einer Dame,,,"Kempeneer, Peter de",Frankfurt,Städel Museum,,,1522/1524,,,,,,,,,,,,,,,,,,,,,,,,,Peter de Kempeneer
180,13431,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1901,Anderson,70013011,,Bild,Der heilige Hieronymus als Büßer,,,"Lotto, Lorenzo",Rom,Galleria Doria Pamphilj,,,1522/1530,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Lotto
181,13696,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70013023,,Bild,Semiramis wird zu den Waffen gerufen,,,Guercino,London,Christie's,,,1645,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
182,13281,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1896,Alinari,70013120,,Zyklus,"Szenen aus den Taten des Herkules: Herkules kämpft mit der Hydra, Herkules und Antaeus",,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,um 1470,,,,,,,,,,,,,,,,,,,,,,,,,Antonio del Pollaiuolo
192,13333,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1911,Alinari,70005146,,Bild,Bacchanal,,,"Balducci, Matteo",Gubbio,Museo Civico Palazzo dei Consoli,,,1501/1550,,,,,,,,,,,,,,,,,,,,,,,,,Matteo Balducci
193,13484,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,07702799,,Bild,Maria mit Kind und Heiligen,,,"Palma, Jacopo (1480)",Wien,Kunsthistorisches Museum,,,um 1520/1525,,,,,,,,,,,,,,,,,,,,,,,,,Jacopo Palma
194,13570,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,07702896,,Bild,Sogenanntes Bildnis des Arztes Parma,,,Tizian,Wien,Kunsthistorisches Museum,,,um 1515/1520,,,,,,,,,,,,,,,,,,,,,,,,,Tizian
198,13405,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1894,"Tamme, Rudolph",70013013,,Bild,"Disputation der Immaculata Conceptio mit den heiligen Anselmus, Agustinus, Hieronymus und Ambrosius",,zerstört,"Dossi, Dosso",Dresden,Gemäldegalerie Alte Meister Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dosso Dossi
199,13652,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70013025,,Bild,Die libysche Sibylle,,,Guercino,London,"Windsor Castle, Royal Art Collection",,,1651,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
200,13491,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,70010547,,Zyklus,Szenen aus dem Marienleben,,,"Peruzzi, Baldassare",Rom,Sant'Onofrio al Gianicolo,Rom,Sant'Onofrio al Gianicolo,1504/1506,,,,,,,,,,,,,,,,,,,,,,,,,Baldassare Peruzzi
218,13603,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1912,Reali,70013037,,Bild,David mit dem Haupt des Goliath,,,"Caletti, Giuseppe",,unbekannt,,,1600/1669,,,,,,,,,,,,,,,,,,,,,,,,,Giuseppe Caletti
219,13396,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1898,"Tamme, Rudolph",70013049,,Bild,Madonna des heiligen Franziskus,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1514/1515,,,,,,,,,,,,,,,,,,,,,,,,,Correggio
224,13671,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,07501095,,Bild,Zwei Engel beweinen den toten Christus,,,Guercino,London,National Gallery,,,1617/1618,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
226,13670,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70012982,,Bild,Susanna im Bade,,,Guercino,München,Bayerische Staatsgemäldesammlung,,,nach 1617,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
227,13464,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Bruckmann,70013080,,Bild,Thronende Madonna mit Kind und vier Kirchenvätern,,,"Moretto, Alessandro",Frankfurt,Städel Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessandro Moretto
228,13369,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1897,Bruckmann,70013092,,Bild,Männliches Bildnis,,,"Carracci, Agostino",München,Alte Pinakothek München,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agostino Carracci
231,13685,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70013000,,Bild,Der Evangelist Lukas,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1615,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
232,13432,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,70013012,,Bild,Madonna mit Kind und den heiligen Ignatius von Antiochien und Onuphrius,,,"Lotto, Lorenzo",Rom,Galleria Borghese,,,1508,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Lotto
234,13681,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70012979,,Bild,Die Reue des heiligen Petrus,,,Guercino,Neapel,Museo e Gallerie Nazionali di Capodimonte,,,1650/1680,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
235,13289,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1896,Alinari,70013119,,Bild,Temperantia,,,"Pollaiuolo, Antonio di Jacopo d'Antonio del",Florenz,Galleria degli Uffizi,,,1469/1470,,,,,,,,,,,,,,,,,,,,,,,,,Antonio del Pollaiuolo
236,13573,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Anderson,70013107,,Bild,Der Tod der heiligen Cäcilia,,,"Vanni, Francesco (1563)",Rom,Santa Cecilia in Trastevere,Rom,Santa Cecilia in Trastevere,,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Vanni
237,13771,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Hanfstaengl,70013204,,Bild,Veduta von Santa Maria della Salute in Venedig,,,Canaletto,Berlin,Kaiser-Friedrich-Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canaletto
238,13239,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Alinari,07960117,,Altarbild,Verkündigung,,,"Donzelli, Pietro (1451)",Florenz,Santo Spirito,Florenz,Santo Spirito,vor 1498.12.22,,,,,,,,,,,,,,,,,,,,,,,,,Pietro Donzelli
240,13360,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013053,,Bild,Bildnis eines jungen Mannes,,,"Allori, Alessandro",Berlin,"Gemäldegalerie, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessandro Allori
241,13162,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013065,,Bild,Die Weihe des heiligen Stephanus zum Diakon,,,"Carpaccio, Vittore",Berlin,"Gemäldegalerie, Staatliche Museen zu Berlin - Preußischer Kulturbesitz",,,1511,,,,,,,,,,,,,,,,,,,,,,,,,Vittore Carpaccio
244,13346,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1901,Anderson,07500795,,Zyklus,Schlafzimmerausstattung mit Themen der römischen Geschichte,,Fragment,"Beccafumi, Domenico",Rom,Galleria Doria Pamphilj,Siena,Casa Petrucci,um 1519,,"07500795,T,002",Bild,"Cornelia, Mutter der Gracchen",,,,Rom,Galleria Doria Pamphilj,,,,,,,,,,,,,,,,Domenico Beccafumi
253,13395,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Bruckmann,70013089,,Bild,Madonna mit Kind und Johannesknaben,,,Correggio,Frankfurt (Main),Städel Museum,,,um 1522,,,,,,,,,,,,,,,,,,,,,,,,,Correggio
264,13701,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1907,Brogi,07503029,,Gewölbedekoration,Allegorien der Tageszeiten,,,Guercino,Rom,Villa Ludovisi,Rom,Villa Ludovisi,1621,,"07503029,T,001",Deckenbild,Aurora und ihr Gefolge,,,Guercino,,,,,,,,,,,,,,,,,,Guercino
265,13700,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1907,Brogi,07503029,,Gewölbedekoration,Allegorien der Tageszeiten,,,Guercino,Rom,Villa Ludovisi,Rom,Villa Ludovisi,1621,,"07503029,T,001",Deckenbild,Aurora und ihr Gefolge,,,Guercino,,,,,,,,,,,,,,,,,,Guercino
