,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2,Artist_wd_nameprep
0,13551,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70010647,,Bild,"['Noli me tangere', 'Christus erscheint Maria Magdalena']",,,Tizian,London,National Gallery,,,um 1514,,,,,,,,,,,,,,,,,,,,,,,,,Tizian
1,13126,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Hanfstaengl,07705412,,Bild,Berufung der Söhne des Zebedäus,,,"Basaiti, Marco",Wien,Kunsthistorisches Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Basaiti
4,13433,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013046,,Bild,Maria mit dem Kind und den heiligen Katharina und Jakobus der Ältere,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1527/1533,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Lotto
12,13527,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Brogi,70013208,,Bild,Die heilige Lucia,,,Salvo di Antonio,Messina,Museo Regionale di Messina,Messina,Chiesa di Santa Lucia,1591,,,,,,,,,,,,,,,,,,,,,,,,,Salvo di Antonio
13,13202,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Hanfstaengl,07703528,,Bild,Maria mit dem Kind,,,"Lippi, Filippino",Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,um 1475/1480,,,,,,,,,,,,,,,,,,,,,,,,,Filippino Lippi
14,13676,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70012991,,Bild,Semiramis und der Bote,,zerstört,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,1627/1628,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
15,13308,1912,"Buerkel, Ludwig von",Mal. Ren.,1899,Bruckmann,07701900,,Bild,Weibliches Brustbild (Lucrezia Borgia?),,,Bartolomeo Veneto,Frankfurt (Main),Städelsches Kunstinstitut und Städtische Galerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bartolomeo Veneto
17,13661,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1878,Brogi,70013021,,Bild,Ecce Homo,,,Guercino,Turin,Galleria Sabauda,,,1659,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
18,13532,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Alinari,70013033,,Bild,Die heilige Familie,,,"Salimbeni, Ventura",Florenz,"Galleria Palatina, Palazzo Pitti",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventura Salimbeni
23,13493,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07700713,,Zyklus,Freskenzyklus,,,Sebastiano del Piombo,Rom,San Pietro in Montorio,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,005",Wandbild,Geißelung Christi,,,,,,,,,,,,,,,,,,,,,Sebastiano del Piombo
25,13434,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Fiorentini,70013045,,Bild,Mann mit Tierpranke,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1524/1525,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Lotto
27,13460,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1876,Alinari,70013154,,Bild,Verkündigung,,,"Venusti, Marcello",Rom,"Galleria Nazionale d'Arte Antica, Palazzo Corsini",,,1551/1560,,,,,,,,,,,,,,,,,,,,,,,,,Marcello Venusti
28,13408,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1896,Alinari,70013156,,Bild,Die heilige Familie mit dem Johannesknaben,,,"Pisano, Nicola (1484)",Florenz,Galleria degli Uffizi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicola Pisano
30,13566,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1894,"Tamme, Rudolph",70013035,,Bild,"Bildnis der Tochter Tizians, Lavinia",,,Tizian,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1561,,,,,,,,,,,,,,,,,,,,,,,,,Tizian
32,13435,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Fiorentini,70013047,,Bild,Bildnis eines Goldschmiedes in drei Ansichten,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1525/1535,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Lotto
36,13341,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Hanfstaengl,70013059,,Bild,Darbringung Christi im Tempel,,,Bartolommeo (Fra),Wien,Kunsthistorisches Museum Wien,Florenz,San Marco,1516,,,,,,,,,,,,,,,,,,,,,,,,,Fra Bartolommeo
39,13284,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1908,Alinari,07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",San Gimignano,Sant'Agostino,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,,Piero di Jacopo d'Antonio Benci del Pollaiuolo
43,13397,1912,"Buerkel, Ludwig von",Mal. Ren.,1899,"Tamme, Rudolph",07858122,,Bild,Madonna des heiligen Sebastian,,,Correggio,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1524,,,,,,,,,,,,,,,,,,,,,,,,,Correggio
47,13530,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,70013209,,Bild,Bacchanal,,,"Giordano, Luca",Rom,Villa Albani,Rom,Villa Albani,,,,,,,,,,,,,,,,,,,,,,,,,,Luca Giordano
48,13657,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70012992,,Bild,Lot mit seinen Töchtern,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,1650,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
49,13400,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,unbekannt,70013010,,Bild,Die heilige Nacht,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1522/1530,,,,,,,,,,,,,,,,,,,,,,,,,Correggio
52,13689,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Brogi,70013022,,Bild,"Die heilige Theresia mit den heiligen Albert von Jerusalem, Joseph und Maria mit Kind",,zerstört,Guercino,Messina,San Gregorio,Messina,San Gregorio,1659,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
53,13366,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Alinari,70013034,,Bild,Grablegung Christi,,,"Salviati, Francesco",Florenz,"Galleria Palatina, Palazzo Pitti",,,,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Salviati
58,13477,1912,"Buerkel, Ludwig von",Mal. Ren.,1900,"Tamme, Rudolph",07702806,,Bild,"Maria mit dem Kinde, Johannes dem Täufer und der heiligen Katharina",,,"Palma, Jacopo (1480)",Dresden,Staatliche Kunstsammlungen Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacopo Palma
60,13482,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013131,,Bild,Frauenbildnis,,,"Lotto, Lorenzo",,unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Lotto
61,13558,1912,"Buerkel, Ludwig von",Mal. Ren.,1899,unbekannt,07703013,,Bild,Kopf eines jungen Mannes mit rotem Barett,,,Tizian,Frankfurt (Main),Städelsches Kunstinstitut und Städtische Galerie,,,1516,,,,,,,,,,,,,,,,,,,,,,,,,Tizian
62,13564,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,,07703025,,Bild,Bildnis eines bärtigen jungen Mannes,,,Tizian,Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,um 1525/1530,,,,,,,,,,,,,,,,,,,,,,,,,Tizian
72,13518,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,004",Gewölbebild,Erschaffung der Tiere,,,,,,,,,,,,,,,,,,,,,Raffael
74,13516,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,005",Gewölbebild,Erschaffung Evas,,,Raffael,,,,,,,,,,,,,,,,,,Raffael
78,13515,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,007",Gewölbebild,Vertreibung aus dem Paradies,,,Raffael,,,,,,,,,,,,,,,,,,Raffael
90,13522,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,015",Gewölbebild,Abraham und die drei Engel,,,Raffael,,,,,,,,,,,,,,,,,,Raffael
91,13519,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,016",Gewölbebild,Lot und seine Familie fliehen,,,,,,,,,,,,,,,,,,,,,Raffael
104,13523,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,022",Gewölbebild,Jakob und Rahel am Brunnen,,,Raffael,,,,,,,,,,,,,,,,,,Raffael
110,13517,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,025",Gewölbebild,Joseph erzählt den Brüdern seine Träume,,,,,,,,,,,,,,,,,,,,,Raffael
117,13521,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,028",Gewölbebild,Joseph deutet Pharaos Träume,,,,,,,,,,,,,,,,,,,,,Raffael
